,会话id,标注命中句,标注结果,模型预测句,模型预测结果
询问意向科目,33117459,[],0,"销售:行，那就这样，然后呢，您这边有啥问题就直接的跟嘉宾老师沟通一下，包括我一会再跟嘉宾老师沟通一下孩子的情况，就是咱文言文这块想调成重点是吧。就是暑假这。
客户:对，我想。他能。我就是说这个假期15次课，能够再重新给我发一个这个假期安排吗？

",是
询问意向科目,33117461,[],0,"销售:然后看咱们这边是想安排那个精品班还是白金班。
客户:他这个是上刷什么课。

",是
询问意向科目,33117472,[],0,"销售:喂，朱先生您好，我这边是北京新东方总部的老师，接到您是想咨询咱们雅思和托福的课程是吗？
客户:对。

",是
询问意向科目且家长应答,33117461,[{行明白，就是那咱们是这个想安排就是这个就是在暑假和后边的话，就是正给孩子让他去一对一补习是吧。 6} {嗯。 7} {有没有这个线上的，就是说一个老师好几几个孩子，有没有这个补课的话有没有。 8}],1,"
",否
询问意向科目且家长应答,33117387,[{您好，然后想问一下，咱们有考虑在假期给孩子预习一下高一的知识吗？因为现在分数也出来了。 4} {我现在我现在在看呢，倒是。 5}],1,"
",否
询问意向科目且家长应答,33117430,[{你好，穆群爸爸是吧，我是那个新东方，课程规划老师，就是我是听客服老师问咱们是想上那个假期的集训课。 1} {对。对，有吗？ 2}],1,"
",否
询问意向科目且家长应答,33117455,[{您好，是这样的，给您打电话想问一下咱们暑假有考虑给孩子安排新高一的衔接课吗？ 3} {有考虑。 4}],1,"
",否
询问意向科目且家长应答,33117451,[{你好，静海妈妈，我这边是新东方的，然后之前咱们说那个想给孩子了解那暑假新高一衔接课。不知道咱们安没安排好呢，因为咱们新东方这边马上第二期就要开课了。 3} {你们那边都学什么？ 4}],1,"
",否
询问意向科目且家长应答,33117426,[{对，然后给您来电是这样的，就是我看您也在关注咱们那个英语听口的讲座，我想跟您问问，就是咱们现在新东方这边不是开了那个英语的考前听口的冲刺课程嘛，就是短期课，想跟您问一下，咱们现在这边的话，孩子英语听口成绩咋样，他是不是有这个需要去跟着老师做听口的冲刺。 3} {听孩子听口还行，那天我问他来着。现在说现在先拿先先先拿那个，他英语一直挺不能说挺好，反正也行，他现在那个语文。 4}],1,"
",否
询问意向科目且家长应答,33117415,[{然后您看咱是有要是有这个想法，哪些学科需要关注的话，我给咱们重新那个。安排一个课程呢，就是您说这个体验呢，还是怎么着。 12} {可以体验几科。 13}],1,"
",否
询问意向科目且家长应答,33117431,[{喂，子轩妈妈您好，我是新东方的王老师，咱们家长在给孩子报高一衔接课，您了解一下吗？ 1} {新东方是吗？ 2}],1,"
",否
询问意向科目且家长应答,33117488,[{打扰您时间，是这样的，因为孩子之前不是有在咱这上过课嘛，然后给您打电话也是想问问暑假这边对于班课或者一对一是否还有需要或者安排。 2} {是，我想问问。 3} {嗯。 4} {咱们那的那个高三的那个英语有专门的什么班。 5}],1,"
",否
询问意向科目且家长应答,33117422,[{家长您好，我是新东方的小崔老师，就是说咱现在志愿填报不也结束了吗？问暑期的衔接课给孩子安排好了没有？ 1} {咱们这一颗大概多少钱。 2}],1,"
",否
询问意向科目且家长应答,33117479,[{还能吗？喂。 197} {比如说孩子妈妈，我问你，我说您是不是想要给孩子提升一下数学成绩。 198} {对呀。 199}],1,"
",否
询问意向科目且家长应答,33117435,[{然后加个英语，然后如果说那啥的话，您未来文科孩子会安排吗？还是说。 44} {嗯。 45} {他不想我也是问他这个了，因为上高中要是这个分科嘛，然后他说他想学理科。 46}],1,"
",否
询问意向科目且家长应答,33117389,[{暑期课不上了是吗？那也可以开学，我们现在开学新开学了之后，我们有相应的关那个高中的课程，您也可以做一个了解。 34} {对。那个可以，早期课是不上了，对。 35}],1,"
",否
询问意向科目且家长应答,33117464,[{这边是新东方高中部的老师。就是我们现在有那个秋季的班课和一对一课程，问问我们学生有没有这方面的一些安排。 2} {可以。 3}],1,"
",否
询问意向科目且家长应答,33117439,[{你好，是这样，因为前两天您不是问了咱们这边的这个英语这一块嘛，然后对，所以我说跟您碰一下，因为这马上那个如果是考虑班课的话，最后一期课也快要开课了，咱们还得邮寄教材啥的，所以说跟您碰碰，咱们是打算让他走个一对一，还是走个班课。 5} {英语。 6} {因为我是跟孩子商量了，他是觉得那个他的数理化更差，他现在全在补数理化，然后他没同意补英语，他说他觉得自己英语还行，然后说那个你让我先补数理化吧，他现在是已经上着化学、物理和数学三门，他说不能四门重开，他会炸。 7}],1,"
",否
询问意向科目且家长应答,33117491,[{我们老师说咱们那个想了解衔接课，然后说让孩子自己决定。 7} {对。 8}],1,"
",否
询问意向科目且家长应答,33117392,[{我知道，我看到咱们之前有上过咱们暑假新高一的课，他那种就是金牌老师吧，有两种就是有一种是班课的，一种是一对一的，他现在的话是想解决哪一部分分数问题呢？我看看是咱们班课合适还是一对一合适。 41} {现在高三了，还能适合一对一的高班课吗？ 42}],1,"
",否
询问意向科目且家长应答,33117438,[{对，是的，就是这不孩子暑假之后就高三年级了嘛，然后大多数家长对于孩子目前比较薄弱的科目进行一对一冲刺，所以咱在暑假有这个66元一科的试听课，看您这边有想给孩子安排学习科目吗？ 8} {嗯。 9} {我也听息在长说，也就不问，因为现在我也是没问他。我前几天问他，就是说那作业写多了，他也没说什么。 10}],1,"
",否
询问意向科目且家长应答,33117432,[{就是。现在就是还有有哪些科目，比如说物理化学这些，这数学这三科都有吧。 23} {就语语数英语数英物理化学史地政。还生物就是这九科的话，新东方这边就是高中一对一老师都有，咱上哪一科，因为。 24} {一对一的，如果是大班呢，大班课呢。 25}],1,"
",否
询问意向科目且家长应答,33117434,[],0,"销售:嗯。现在孩子的话，这边是选了哪几个科目呢。
客户:物化生。物理、化学、生物。

",是
询问意向科目且家长应答,33117444,[],0,"销售:咱们这边说的是那个中考志愿，孩子那个中考志愿填报，咱们这边可以给孩子提供一个免费的一个指导活动，就是说看这边您需要了解一下吗。
客户:好了。
客户:那我在通州区那个，我那就那个新建校。新建了三所学校。这边有什么了解吗。

",是
询问意向科目且家长应答,33117491,[],0,"销售:家长您好，我这边是新东方的，接到一条咱的消息，说要了解那个暑假衔接课是吧。
客户:我没说。

",是
询问意向科目且家长应答,33117491,[],0,"销售:对。
客户:行，那就是说我想主要是想看一下，就是看看咱们那边衔接的话，就是暂时还没那个，没想上哪个，就想看一下这个物理跟数学。

",是
询问意向科目且家长应答,33117402,[],0,"销售:咱们是咱们孩子都选了哪些科目。
客户:选的那个政治。

",是
询问意向科目且家长应答,33117459,[],0,"销售:行，那就这样，然后呢，您这边有啥问题就直接的跟嘉宾老师沟通一下，包括我一会再跟嘉宾老师沟通一下孩子的情况，就是咱文言文这块想调成重点是吧。就是暑假这。
客户:对，我想。他能。我就是说这个假期15次课，能够再重新给我发一个这个假期安排吗？

",是
询问意向科目且家长应答,33117461,[],0,"销售:然后看咱们这边是想安排那个精品班还是白金班。
客户:他这个是上刷什么课。

",是
询问意向科目且家长应答,33117472,[],0,"销售:喂，朱先生您好，我这边是北京新东方总部的老师，接到您是想咨询咱们雅思和托福的课程是吗？
客户:对。

",是
询问成绩,33117491,[{对，到时候您。 77} {今年那个统招刘珊大概多少分知道吗？ 78} {说是620多吗？预估的。 79} {620多是吗？ 80}],1,"
",否
询问成绩,33117390,[{嗯。 85} {是吧，我没记错，三科。就这三科之后，中考成绩都没有发挥出来吗？ 86} {不是英语还英语，跟他以往还可以，英语考了92分，物理考了63吧。 87} {嗯。 88}],1,"
",否
询问成绩,33117467,[{玉珊妈妈，我也给您去找几位老师，像之前带过艺考的，然后我大概给您发一下案例，您先看一下。然后那个反正这边最近不也是有这个试听课的活动嘛，然后等那个雨珊这两天有时间的话，您也可以让他就给他安排两节试听，让他先试试他英语跟数学都怎么样这两科。 223} {英语更好。英语还行。 224} {英语。英语还可以是不是？ 225} {他英语好。他英语。就英语还可以，数学不太好。 226}],1,"
",否
询问成绩,33117467,[{都还可以是不是。 230} {60。对。 231} {他选他是不是也选的是那个文科，就选科。 232} {对。数学不太好。我们这个文中，这个文中。 233} {文综是吧，是地政。 234} {对。女孩嘛，他就肯定。 235}],1,"
",否
询问成绩,33117447,[{西部二十多名。 12}],1,"
",否
询问成绩,33117435,[{五百九十三是吧，好嘞。 10} {对。 11} {593明白，然后我看一下590。 12} {嗯。 13}],1,"
",否
询问成绩,33117396,[{那您这边就是最理想。 40} {因为孩子这个理科就是理科一直在提，提到这个八，现在数学是考了82。他这个数学这理科这块一直就是。 41} {数学80。 42} {不是特别。 43}],1,"
",否
询问成绩,33117488,[{嗯。 28} {他这个成绩基本上在125到一百三之间吧，大概是。 29} {125到一，那他现在已经在做一百五的卷子了，是吧。嗯。 30} {对，他们早就做一百五的，一直做一百五的卷子。 31}],1,"
",否
询问成绩,33117487,[{他的数学和英语。 23} {数学跟英语。 24} {上的怎么样，孩子？ 25} {嗯。 26} {还可以吧，就是怎么说呢，一个收心，二一个他自个也。 27}],1,"
",否
询问成绩,33117487,[{那他现在数学的话听着应该还行是吗？因为就是一般情况下，如果初中这个基础不是特别好的话，如果孩子只是。 42} {嗯。 43} {只是这一次数学考考考成81，其实之前都还挺好的话，那应该没啥问题，如果说孩子就是数学，就是这个基础不是很好的话，数学学起来可能也稍微有点费劲。 44} {数学还可以，我觉得初中数学基础还可还可以。 45} {还可以是吧。那就行。那就行，那就行，物理的话也还行是吧。 46} {对。 47}],1,"
",否
询问成绩,33117402,[],0,"销售:各科他各科的成绩怎么样。
客户:那他因为他这次他没期末，他没有参加考试，他因为他下他不是因为那个。就是高二下他不没学嘛，就有一段时间他就没。

",是
询问成绩,33117435,[],0,"销售:明白没问题，那孩子目前的话是考了大概500。不是六百六。
客户:我会，我。

",是
询问成绩,33117430,[],0,"销售:英语。英语薄弱多少分呢？
客户:我说对。那就比较差了，你平时他。

",是
询问成绩,33117390,[],0,"销售:就是80多分肯定应该没问题，也不能说是75分这个成绩。
客户:他一模和二模都考了多少分呢？
销售:一模二模，你都弄混了。二模是80几来着，忘了。一模好像也70多分，二模还是80多分。
销售:对。
客户:然后一。

",是
询问成绩,33117482,[],0,"销售:明白，然后他那个语文跟数学这是100分的满分还是一百五的满分。
客户:100。

",是
询问成绩,33117482,[],0,"销售:英语考了39分，我记录一下，这都是期末考试成绩是吧。
客户:对。
客户:不是，是不是就刚刚那个什么摸底考试什么。

",是
询问成绩,33117482,[],0,"销售:他现在总分能能考多少分。
客户:总分没出来，我问了他，就是说他就这些分，但是他没说。

",是
询问成绩,33117400,[],0,"销售:还能选吗？
客户:不是我说假如说他初一期末考试。他物理考多少分？

",是
询问成绩,33117396,[],0,"销售:就是我看是631分是吧。
客户:13。

",是
询问成绩,33117396,[],0,"销售:对。语文咱们考多少分？
客户:大概它的这一区间。

",是
询问成绩,33117468,[],0,"销售:对，是。挺棒的孩子，他考多少分？
客户:648。

",是
询问成绩,33117411,[],0,"销售:对。
客户:那燕和他的高考成绩咋样？

",是
询问成绩且家长应答,33117434,[{这个的话可能对于孩子就是一个基础性的要求，从他的这个得分率其实就能看出来孩子他的词汇量到底掌握情况怎么样，如果说他基基础偏就错的比较多，或者说没有办法再保持一个稳定的发挥，那说明他首先在基础。的一些词汇量上是存在问题的，那就更不用说语法或者说后面作文了，就是阅读理解，首先就能看出来他的词汇量的掌握情况。 58} {你现在他过来了，然后你说你现在AP。基本上是能保持在六到八道题里面错几道，一般是吧。 59}],1,"
",否
询问成绩且家长应答,33117441,[{一百二是英语，还是语文。 272} {应该是一百二的，应该是应该是应该是语文吧，好像是。 273} {语文一百二能能考到。那个九十来。 274} {也就是都不咋及格，反正是。 275} {都不咋及格，反正。 276} {三科，三科都不好。 277}],1,"
",否
询问成绩且家长应答,33117475,[{我跟您说，因为这今天排的比较满，是这样，就是咱们孩子的一个情况的话，大约是在2758到2797之间一个排名，您肯定这边也了解一这一段，然后他具体排名什么情况，要是看语文成绩是否靠前，他决定了他的排名在这个区间内是否靠前。 4} {嗯。 5}],1,"
",否
询问成绩且家长应答,33117475,[{咱们这个分数如果那啥的话，没准，要是想冲冲理工富的，就想带理工附的实验班冲一下应该也可以。因为一般也是十点半出成绩吧。 44} {反正咱们理工富这个情况应该是去的话概率还是蛮大的。 45} {嗯。 46} {现在就纠结这个事儿，也不知道警察怎么样。 47}],1,"
",否
询问成绩且家长应答,33117475,[{是招到那个589分的左右，如果我们去景山的话，实验班的话，反正。也不知道他们招的学员苗子啥样，所以这边也没办法断定咱们数学上是不是能去实验班。这个确实不定因素太多了。今年。 58} {咱们通州无家务也好，景山也好，北京中学也好，都新增的，然后变数也比较大。 59} {谢谢。 60} {下。而且这京东效果是比较偏。 61}],1,"
",否
询问成绩且家长应答,33117396,[{那您这边就是最理想。 40} {因为孩子这个理科就是理科一直在提，提到这个八，现在数学是考了82。他这个数学这理科这块一直就是。 41}],1,"
",否
询问成绩且家长应答,33117396,[{没关系，反正现在怎么说呢，很咱们考的这样，其实也在大致的预估范围内，因为不是说光咱们孩子这个语文往下拉了。嗯。 52} {嗯。 53}],1,"
",否
询问成绩且家长应答,33117487,[{只是这一次数学考考考成81，其实之前都还挺好的话，那应该没啥问题，如果说孩子就是数学，就是这个基础不是很好的话，数学学起来可能也稍微有点费劲。 44} {数学还可以，我觉得初中数学基础还可还可以。 45} {还可以是吧。那就行。那就行，那就行，物理的话也还行是吧。 46} {对。 47}],1,"
",否
询问成绩且家长应答,33117445,[{他这边的话英语现在能达到123吗。 44} {没有。 45}],1,"
",否
询问成绩且家长应答,33117392,[{数学一百一到100分是吗。 47} {嗯。 48}],1,"
",否
询问成绩且家长应答,33117435,[{五百九十三是吧，好嘞。 10} {对。 11}],1,"
",否
询问成绩且家长应答,33117435,[{数哪个语文八十六七是吗？ 22} {对，语文八十六七，他就是数学比较薄弱一点。 23} {明白。那咱们的目前的话，大概一个想法是什么呢？您可以大概跟我说一说。 24} {就是他不是现在他这个分数应该是可以去高中的，然后那个我们就是想上一个高中衔接，但是也。 25}],1,"
",否
询问成绩且家长应答,33117443,[{嗯。对明白，然后像孩子他目前在也是在100分这个位置是吧，一百左右这边这。 109} {对。对。 110}],1,"
",否
询问成绩且家长应答,33117491,[{对，到时候您。 77} {今年那个统招刘珊大概多少分知道吗？ 78} {说是620多吗？预估的。 79} {620多是吗？ 80}],1,"
",否
询问成绩且家长应答,33117407,[{大概能去哪，咱现在有心里有数了吗。多少分，孩子这边模型好了。 10} {他这次考的不太，他这次考的不好，然后如果要能上的话，也只能是上房东或者那个首师或实验。 11}],1,"
",否
询问成绩且家长应答,33117445,[],0,"销售:因为其实，我不知道孩子整体的一个成绩怎么样，但是其实像英语，还有这个语文其实都挺重要的。
客户:嗯。

",是
询问成绩且家长应答,33117443,[],0,"销售:明白雪妈妈，那像这个就是其他线下机构的话，现在对于孩子这个学习效果怎么样，这边呢。
客户:我觉得还行。

",是
询问成绩且家长应答,33117398,[],0,"销售:对，想跟您沟通一下那个李兆涵上的咋样，这节课。
客户:我感觉就是。咋说呢，他好像有点。

",是
询问成绩且家长应答,33117435,[],0,"销售:明白没问题，那孩子目前的话是考了大概500。不是六百六。
客户:我会，我。

",是
询问成绩且家长应答,33117424,[],0,"销售:他区牌是多少了，因为咱新东方又出了一版那个四点。
客户:金牌是6000左右吧。

",是
询问成绩且家长应答,33117424,[],0,"销售:一会儿我把这个咱们东城的这个情况给您发一下，他区牌是多少。
客户:对。6000左右。

",是
询问成绩且家长应答,33117467,[],0,"销售:你们集训的话也是那种。那种就是这种现象。
客户:就是全对。
客户:就是我们这边的话，就是一般集训也都是一对一，这种集训就是因为不能说再以单科的形式去给孩子上了，所以说这边也想了解一下孩子现在各科的分数，这边成绩怎么样，您大概这边可以说一下孩子的情况，您说。

",是
询问成绩且家长应答,33117411,[],0,"销售:对。
客户:那燕和他的高考成绩咋样？

",是
询问成绩且家长应答,33117426,[],0,"销售:对，然后给您来电是这样的，就是我看您也在关注咱们那个英语听口的讲座，我想跟您问问，就是咱们现在新东方这边不是开了那个英语的考前听口的冲刺课程嘛，就是短期课，想跟您问一下，咱们现在这边的话，孩子英语听口成绩咋样，他是不是有这个需要去跟着老师做听口的冲刺。
客户:听孩子听口还行，那天我问他来着。现在说现在先拿先先先拿那个，他英语一直挺不能说挺好，反正也行，他现在那个语文。

",是
询问成绩且家长应答,33117386,[],0,"销售:可晨妈妈，我常老师。
销售:你好，可可妈妈，这次期末考完了，我看孩子整体最近状态怎么样，就给您做个学习回访。
客户:你好。你好。

",是
询问成绩且家长应答,33117400,[],0,"销售:最低满分。68吗？
客户:对，后来我就不是说就是说报了，反正那个什么这个我没有想，就是说钱报的花出去怎么样，我没想过这个。

",是
询问成绩且家长应答,33117482,[],0,"销售:明白光大分校。然后班级里面整体的这个平均分，或者最高分咋样，因为我前两天接触一个清华附奥森的，他们那个就是哎呀，整体班里面的那个基础都是差不多，均分也就个四十来分，是咱们也差不多，还是说咱们相对来说学的稍微有点弱。
客户:嗯。
客户:不是，他是这样的，现在开始弱了，以前呢，他。

",是
询问排名,33110132,[{九点。可能也感觉是稍微有点难度的是不是，其实我们自身来讲确实是对，因为他是其实最后还是看看你的排名，看区牌。 40} {排名嘛，你想他一模5000多。 41}],1,"
",否
询问排名,33114149,[{孩子应该是排在6000以里是吧。 120} {五千四五千四百二十六，对。 121}],1,"
",否
询问排名,33112417,[{对，他去牌去年大概区牌差不多621左右就能到，然后你的区牌是多少。 51} {1118。 52}],1,"
",否
询问排名,33109071,[],0,"销售:那您稍等一下。
客户:对，一模二模全是学校前十。

",是
询问排名,33111752,[],0,"销售:不太准。
客户:对，他出来9000多名。大概这个应该5000多。

",是
询问排名,33113771,[],0,"销售:四千五左右的话，应该是对应的去年的一个分数线的话。录取的一个排名的话，大概是和平街一中的一个。
销售:层次。
客户:然后它那个二模，二模是4100。

",是
询问排名,33113771,[],0,"销售:龚大富去年的录取排名是三千三百五。
客户:现在。就是那个去年日子呢。

",是
询问排名,33115785,[],0,"销售:对五十多。
客户:55、今年大概有多少？

",是
询问排名,33112041,[],0,"销售:那不行。
客户:在这个，在这个就是区排名里边，一共是1600多名。

",是
询问排名,32695264,[],0,"销售:对，咱们孩子现在这个成绩怎么样。
客户:是吧？对。
客户:他那个按摩的时候是排学校13秒。但是就是。分数，因为那一模二模的比例稍微比正常的中考应该说是难一点。

",是
询问排名,33115240,[],0,"销售:行，是这样，我们那个区排名是1706。
销售:对。今年的那个招生政策您大概清楚吗？就招生。
客户:知道您说。

",是
询问排名,33113773,[],0,"销售:是的，您是在咱们那个群里是吗。
客户:拜。就是一第一名到1500名那个。

",是
询问排名,32679033,[],0,"销售:没问题是吗？这个其实。
客户:他二模差不多400吧。不知道呢。排的啥？

",是
询问排名,32686157,[],0,"销售:就北北航学校那里面那个北航富，这几个的话，排名大体都是在6000左右吧。
客户:那我。

",是
询问排名,32677875,[],0,"销售:尽快。那中考成绩咋样呢，现在。
客户:一。在朝阳区排名。6000多人吧。

",是
询问排名且家长应答,33110132,[{九点。可能也感觉是稍微有点难度的是不是，其实我们自身来讲确实是对，因为他是其实最后还是看看你的排名，看区牌。 40} {排名嘛，你想他一模5000多。 41}],1,"
",否
询问排名且家长应答,33114149,[{孩子应该是排在6000以里是吧。 120} {五千四五千四百二十六，对。 121}],1,"
",否
询问排名且家长应答,33112417,[{对，他去牌去年大概区牌差不多621左右就能到，然后你的区牌是多少。 51} {1118。 52}],1,"
",否
询问排名且家长应答,33109071,[],0,"销售:那您稍等一下。
客户:对，一模二模全是学校前十。

",是
询问排名且家长应答,33111752,[],0,"销售:不太准。
客户:对，他出来9000多名。大概这个应该5000多。

",是
询问排名且家长应答,33113771,[],0,"销售:四千五左右的话，应该是对应的去年的一个分数线的话。录取的一个排名的话，大概是和平街一中的一个。
销售:层次。
客户:然后它那个二模，二模是4100。

",是
询问排名且家长应答,33113771,[],0,"销售:龚大富去年的录取排名是三千三百五。
客户:现在。就是那个去年日子呢。

",是
询问排名且家长应答,33115785,[],0,"销售:对五十多。
客户:55、今年大概有多少？

",是
询问排名且家长应答,33112041,[],0,"销售:那不行。
客户:在这个，在这个就是区排名里边，一共是1600多名。

",是
询问排名且家长应答,32695264,[],0,"销售:对，咱们孩子现在这个成绩怎么样。
客户:是吧？对。
客户:他那个按摩的时候是排学校13秒。但是就是。分数，因为那一模二模的比例稍微比正常的中考应该说是难一点。

",是
询问排名且家长应答,33115240,[],0,"销售:行，是这样，我们那个区排名是1706。
销售:对。今年的那个招生政策您大概清楚吗？就招生。
客户:知道您说。

",是
询问排名且家长应答,33113773,[],0,"销售:是的，您是在咱们那个群里是吗。
客户:拜。就是一第一名到1500名那个。

",是
询问排名且家长应答,32679033,[],0,"销售:没问题是吗？这个其实。
客户:他二模差不多400吧。不知道呢。排的啥？

",是
询问排名且家长应答,32686157,[],0,"销售:就北北航学校那里面那个北航富，这几个的话，排名大体都是在6000左右吧。
客户:那我。

",是
询问排名且家长应答,32677875,[],0,"销售:尽快。那中考成绩咋样呢，现在。
客户:一。在朝阳区排名。6000多人吧。

",是
